2019-11-30 14:07:18.000 [restartedMain] INFO  com.xlian.XlianAdminWebApplication - Starting XlianAdminWebApplication on DESKTOP-A66MP9K with PID 9900 (E:\IdeaProject\xlian-admin-web\target\classes started by TONGXIN in E:\IdeaProject\xlian-admin-web)
2019-11-30 14:07:18.002 [restartedMain] DEBUG com.xlian.XlianAdminWebApplication - Running with Spring Boot v2.2.1.RELEASE, Spring v5.2.1.RELEASE
2019-11-30 14:07:18.002 [restartedMain] INFO  com.xlian.XlianAdminWebApplication - No active profile set, falling back to default profiles: default
2019-11-30 14:07:18.065 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2019-11-30 14:07:18.066 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2019-11-30 14:07:19.409 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2019-11-30 14:07:19.416 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2019-11-30 14:07:19.417 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2019-11-30 14:07:19.417 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.27]
2019-11-30 14:07:19.493 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2019-11-30 14:07:19.494 [restartedMain] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1428 ms
2019-11-30 14:07:19.726 [restartedMain] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2019-11-30 14:07:19.925 [restartedMain] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2019-11-30 14:07:20.473 [restartedMain] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-11-30 14:07:20.780 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2019-11-30 14:07:20.805 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2019-11-30 14:07:20.820 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2019-11-30 14:07:20.822 [restartedMain] INFO  com.xlian.XlianAdminWebApplication - Started XlianAdminWebApplication in 3.099 seconds (JVM running for 4.323)
2019-11-30 14:13:51.390 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2019-11-30 14:13:51.392 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
